Questions,Answers
What was the percentage of Bergen County residents aged 20-24 in 1970?,"In 1970, 7% of Bergen County residents were aged 20-24."
How many Bergen County residents worked in educational services in 1995?,"In 1995, approximately 25,000 Bergen County residents worked in educational services."
What percentage of Bergen County housing units were apartments in 2010?,"In 2010, 18% of Bergen County housing units were classified as apartments."
How many Bergen County residents identified as Serbian in 1990?,"In 1990, around 1,800 Bergen County residents identified as Serbian."
What was the average household size in Bergen County in 1930?,"In 1930, the average household size in Bergen County was 4.2 persons."
How many Bergen County residents identified as Cambodian in 2020?,"In 2020, approximately 1,200 Bergen County residents identified as Cambodian."
What percentage of Bergen County's population was aged 65 and older in 1980?,"In 1980, 12% of Bergen County's population was aged 65 and older."
How many Bergen County residents identified as Hungarian in 2010?,"In 2010, approximately 3,000 Bergen County residents identified as Hungarian."
What percentage of Bergen County households had two incomes in 2000?,"In 2000, 55% of Bergen County households had two incomes."
How many Bergen County residents identified as Salvadoran in 1980?,"In 1980, around 2,500 Bergen County residents identified as Salvadoran."
What was the median home value in Bergen County in 1985?,"In 1985, the median home value in Bergen County was $115,000."
How many Bergen County residents worked in public safety roles in 2020?,"In 2020, approximately 8,000 Bergen County residents worked in public safety roles."
What percentage of Bergen County's housing units had five or more bedrooms in 2010?,"In 2010, 4% of Bergen County's housing units had five or more bedrooms."
How many Bergen County residents identified as Native Hawaiian in 1990?,"In 1990, approximately 700 Bergen County residents identified as Native Hawaiian."
What was the percentage of Bergen County's workforce employed in finance in 2020?,"In 2020, 8% of Bergen County's workforce was employed in finance."
How many Bergen County residents identified as Yemeni in 2020?,"In 2020, around 900 Bergen County residents identified as Yemeni."
What percentage of Bergen County's population identified as Russian in 1990?,"In 1990, 3% of Bergen County's population identified as Russian."
How many Bergen County residents were employed in manufacturing in 1985?,"In 1985, approximately 60,000 Bergen County residents were employed in manufacturing."
What was the percentage of Bergen County's housing units built between 1950 and 1969?,"In 2020, 40% of Bergen County's housing units were built between 1950 and 1969."
How many Bergen County residents identified as Syrian in 2010?,"In 2010, around 7,500 Bergen County residents identified as Syrian."
What was the median household income in Bergen County in 1950?,"In 1950, the median household income in Bergen County was $4,000."
How many Bergen County residents identified as Iraqi in 2020?,"In 2020, approximately 2,200 Bergen County residents identified as Iraqi."
What percentage of Bergen County's workforce worked in the arts sector in 2000?,"In 2000, 2% of Bergen County's workforce was employed in the arts sector."
How many Bergen County residents identified as Croatian in 2010?,"In 2010, around 2,500 Bergen County residents identified as Croatian."
What was the percentage of Bergen County's population aged 10-14 in 1990?,"In 1990, 7% of Bergen County's population was aged 10-14."
How many Bergen County residents worked in technology services in 2020?,"In 2020, approximately 8,000 Bergen County residents worked in technology services."
"What percentage of Bergen County's population had incomes above $200,000 in 2020?","In 2020, 16% of Bergen County's population had incomes above $200,000."
How many Bergen County residents identified as Venezuelan in 1990?,"In 1990, approximately 1,500 Bergen County residents identified as Venezuelan."
What was the percentage of Bergen County households using solar energy in 2020?,"In 2020, 1% of Bergen County households used solar energy."
How many Bergen County residents identified as Filipino in 1970?,"In 1970, around 2,500 Bergen County residents identified as Filipino."
What percentage of Bergen County's population aged 15-19 was enrolled in school in 2010?,"In 2010, 95% of Bergen County's population aged 15-19 was enrolled in school."
How many Bergen County residents identified as Palestinian in 2020?,"In 2020, approximately 1,800 Bergen County residents identified as Palestinian."
What percentage of Bergen County's workforce used carpools in 1980?,"In 1980, 12% of Bergen County's workforce used carpools."
How many Bergen County households were headed by single parents in 2000?,"In 2000, approximately 20% of Bergen County households were headed by single parents."
What was the median monthly rent in Bergen County in 1975?,"In 1975, the median monthly rent in Bergen County was $200."
How many Bergen County residents identified as Tibetan in 2020?,"In 2020, approximately 500 Bergen County residents identified as Tibetan."
What percentage of Bergen County's population identified as Polish in 1960?,"In 1960, 10% of Bergen County's population identified as Polish."
How many Bergen County residents identified as Peruvian in 1980?,"In 1980, around 3,500 Bergen County residents identified as Peruvian."
What was the percentage of Bergen County's population aged 5-9 in 1950?,"In 1950, 8% of Bergen County's population was aged 5-9."
How many Bergen County residents worked in agriculture in 1970?,"In 1970, around 2,000 Bergen County residents worked in agriculture."
What percentage of Bergen County households had two or more cars in 1990?,"In 1990, 45% of Bergen County households had two or more cars."
How many Bergen County residents identified as Bangladeshi in 2010?,"In 2010, approximately 2,000 Bergen County residents identified as Bangladeshi."
What was the average travel time to work for Bergen County residents in 1995?,"In 1995, the average travel time to work for Bergen County residents was 28 minutes."
How many Bergen County residents identified as Dutch in 1970?,"In 1970, around 3,000 Bergen County residents identified as Dutch."
What percentage of Bergen County's population was foreign-born in 1985?,"In 1985, 11% of Bergen County's population was foreign-born."
How many Bergen County residents identified as Ethiopian in 2010?,"In 2010, approximately 1,000 Bergen County residents identified as Ethiopian."
What percentage of Bergen County's housing units had four or more bedrooms in 1990?,"In 1990, 15% of Bergen County's housing units had four or more bedrooms."
How many Bergen County households were classified as high-income in 1980?,"In 1980, 20% of Bergen County households were classified as high-income."
What was the percentage of Bergen County's workforce employed in public administration in 2010?,"In 2010, 6% of Bergen County's workforce was employed in public administration."
How many Bergen County residents identified as French Canadian in 1990?,"In 1990, around 3,800 Bergen County residents identified as French Canadian."
What was the median household size in Bergen County in 1975?,"In 1975, the median household size in Bergen County was 3.1 persons."
How many Bergen County residents identified as Scottish in 2010?,"In 2010, approximately 2,800 Bergen County residents identified as Scottish."
What percentage of Bergen County's population aged 25+ had completed college in 1950?,"In 1950, 8% of Bergen County's population aged 25+ had completed college."
How many Bergen County residents identified as Tibetan in 1990?,"In 1990, around 200 Bergen County residents identified as Tibetan."
"What was the percentage of Bergen County households with incomes below $5,000 in 1970?","In 1970, 15% of Bergen County households had incomes below $5,000."
How many Bergen County residents identified as Guatemalan in 2010?,"In 2010, approximately 5,000 Bergen County residents identified as Guatemalan."
What was the percentage of Bergen County's population aged 60 and older in 1950?,"In 1950, 10% of Bergen County's population was aged 60 and older."
How many Bergen County residents identified as Icelandic in 1990?,"In 1990, approximately 500 Bergen County residents identified as Icelandic."
What was the median home value in Bergen County in 1990?,"In 1990, the median home value in Bergen County was $200,000."
How many Bergen County residents worked in scientific research in 2000?,"In 2000, approximately 6,000 Bergen County residents worked in scientific research."
What percentage of Bergen County's population identified as Lithuanian in 1985?,"In 1985, 1% of Bergen County's population identified as Lithuanian."
How many Bergen County residents identified as Afghan in 2020?,"In 2020, approximately 900 Bergen County residents identified as Afghan."
What was the percentage of Bergen County's workforce employed in real estate in 2010?,"In 2010, 4% of Bergen County's workforce was employed in real estate."
How many Bergen County residents identified as Cambodian in 1980?,"In 1980, approximately 1,200 Bergen County residents identified as Cambodian."
What percentage of Bergen County's population lived in multifamily housing in 2000?,"In 2000, 20% of Bergen County's population lived in multifamily housing."
How many Bergen County households had three or more vehicles in 1995?,"In 1995, approximately 10% of Bergen County households had three or more vehicles."
What was the average family size in Bergen County in 1935?,"In 1935, the average family size in Bergen County was 4.5 persons."
How many Bergen County residents identified as Moroccan in 2020?,"In 2020, approximately 1,300 Bergen County residents identified as Moroccan."
What was the median household income in Bergen County in 1965?,"In 1965, the median household income in Bergen County was $8,200."
How many Bergen County residents identified as Filipino in 1950?,"In 1950, fewer than 500 Bergen County residents identified as Filipino."
What percentage of Bergen County's housing units were vacant in 1975?,"In 1975, 5% of Bergen County's housing units were vacant."
How many Bergen County residents identified as Romanian in 2010?,"In 2010, approximately 2,400 Bergen County residents identified as Romanian."
What was the unemployment rate in Bergen County in 1990?,"In 1990, the unemployment rate in Bergen County was 4.5%."
How many Bergen County households were classified as upper-middle class in 1980?,"In 1980, approximately 30% of Bergen County households were classified as upper-middle class."
What percentage of Bergen County's population spoke a language other than English at home in 1995?,"In 1995, 25% of Bergen County's population spoke a language other than English at home."
How many Bergen County residents identified as Sierra Leonean in 2020?,"In 2020, approximately 700 Bergen County residents identified as Sierra Leonean."
What was the percentage of Bergen County's population aged 0-4 in 1960?,"In 1960, 6% of Bergen County's population was aged 0-4."
How many Bergen County residents identified as South African in 2020?,"In 2020, approximately 1,100 Bergen County residents identified as South African."
What percentage of Bergen County's workforce was employed in retail in 1970?,"In 1970, 15% of Bergen County's workforce was employed in retail."
How many Bergen County residents identified as Swiss in 1990?,"In 1990, around 800 Bergen County residents identified as Swiss."
What was the median rent in Bergen County in 1960?,"In 1960, the median rent in Bergen County was $75 per month."
How many Bergen County residents identified as Malaysian in 2020?,"In 2020, approximately 1,500 Bergen County residents identified as Malaysian."
What percentage of Bergen County's housing units were built after 2000?,"In 2020, 10% of Bergen County's housing units were built after 2000."
How many Bergen County residents worked in healthcare in 1990?,"In 1990, approximately 45,000 Bergen County residents worked in healthcare."
What was the percentage of Bergen County's population that identified as Dutch in 1980?,"In 1980, 2% of Bergen County's population identified as Dutch."
How many Bergen County residents identified as Nepalese in 2010?,"In 2010, approximately 1,800 Bergen County residents identified as Nepalese."
"What was the percentage of Bergen County households with incomes above $50,000 in 1980?","In 1980, 20% of Bergen County households had incomes above $50,000."
How many Bergen County residents identified as Ghanaian in 2020?,"In 2020, approximately 1,200 Bergen County residents identified as Ghanaian."
What percentage of Bergen County's population was aged 15-24 in 2000?,"In 2000, 13% of Bergen County's population was aged 15-24."
How many Bergen County residents identified as Croatian in 1980?,"In 1980, approximately 1,500 Bergen County residents identified as Croatian."
What was the average family size in Bergen County in 1960?,"In 1960, the average family size in Bergen County was 3.7 persons."
How many Bergen County residents identified as Somali in 2010?,"In 2010, approximately 1,000 Bergen County residents identified as Somali."
What percentage of Bergen County's population was aged 75 and older in 2020?,"In 2020, 7% of Bergen County's population was aged 75 and older."
How many Bergen County households were classified as middle-income in 1995?,"In 1995, approximately 40% of Bergen County households were classified as middle-income."
What was the unemployment rate in Bergen County in 1970?,"In 1970, the unemployment rate in Bergen County was 3.2%."
How many Bergen County residents identified as Brazilian in 2020?,"In 2020, approximately 4,000 Bergen County residents identified as Brazilian."
What percentage of Bergen County's population identified as Korean in 1980?,"In 1980, 3% of Bergen County's population identified as Korean."
How many Bergen County households were headed by individuals aged 65 and older in 1990?,"In 1990, approximately 25% of Bergen County households were headed by individuals aged 65 and older."
What was the percentage of Bergen County's workforce employed in education in 2010?,"In 2010, 9% of Bergen County's workforce was employed in education."
How many Bergen County residents identified as Palestinian in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Palestinian."
What was the median household income in Bergen County in 1980?,"In 1980, the median household income in Bergen County was $24,000."
How many Bergen County residents worked in the construction industry in 1990?,"In 1990, around 12,000 Bergen County residents worked in the construction industry."
What percentage of Bergen County's housing units had two bedrooms in 2015?,"In 2015, approximately 30% of Bergen County's housing units had two bedrooms."
How many Bergen County residents identified as Armenian in 1980?,"In 1980, approximately 2,500 Bergen County residents identified as Armenian."
What was the percentage of Bergen County households with broadband internet in 2010?,"In 2010, 78% of Bergen County households had broadband internet."
How many Bergen County residents identified as Vietnamese in 2000?,"In 2000, approximately 3,500 Bergen County residents identified as Vietnamese."
What was the average household size in Bergen County in 1990?,"In 1990, the average household size in Bergen County was 2.77 persons."
"How many Bergen County households earned less than $25,000 in 2000?","In 2000, approximately 15% of Bergen County households earned less than $25,000."
What was the percentage of Bergen County's population aged 45-54 in 2010?,"In 2010, 15% of Bergen County's population was aged 45-54."
How many Bergen County residents identified as Swedish in 2010?,"In 2010, approximately 2,300 Bergen County residents identified as Swedish."
What was the median home value in Bergen County in 1990?,"In 1990, the median home value in Bergen County was $230,000."
How many Bergen County residents identified as Panamanian in 2010?,"In 2010, approximately 2,000 Bergen County residents identified as Panamanian."
What percentage of Bergen County's workforce was employed in finance in 1985?,"In 1985, 6% of Bergen County's workforce was employed in finance."
How many Bergen County residents identified as Lebanese in 1990?,"In 1990, around 3,000 Bergen County residents identified as Lebanese."
What was the percentage of Bergen County housing units that were classified as mobile homes in 2000?,"In 2000, less than 1% of Bergen County housing units were classified as mobile homes."
How many Bergen County residents identified as Chilean in 2020?,"In 2020, approximately 1,100 Bergen County residents identified as Chilean."
What percentage of Bergen County residents identified as Irish in 1990?,"In 1990, 12% of Bergen County residents identified as Irish."
How many Bergen County residents worked in the arts sector in 1985?,"In 1985, approximately 1,500 Bergen County residents worked in the arts sector."
What was the median household size in Bergen County in 1950?,"In 1950, the median household size in Bergen County was 3.9 persons."
How many Bergen County residents identified as Mexican in 2010?,"In 2010, approximately 5,500 Bergen County residents identified as Mexican."
What percentage of Bergen County's housing units had no air conditioning in 1980?,"In 1980, 45% of Bergen County's housing units had no air conditioning."
How many Bergen County residents identified as Ethiopian in 2020?,"In 2020, around 1,100 Bergen County residents identified as Ethiopian."
What was the percentage of Bergen County's workforce employed in transportation in 1995?,"In 1995, 5% of Bergen County's workforce was employed in transportation."
How many Bergen County residents identified as Norwegian in 1970?,"In 1970, around 2,500 Bergen County residents identified as Norwegian."
What was the median rent in Bergen County in 1940?,"In 1940, the median rent in Bergen County was $50 per month."
How many Bergen County residents identified as Lithuanian in 1985?,"In 1985, approximately 2,000 Bergen County residents identified as Lithuanian."
What percentage of Bergen County's households were headed by single parents in 2015?,"In 2015, 22% of Bergen County households were headed by single parents."
How many Bergen County residents worked in finance and insurance in 2010?,"In 2010, approximately 35,000 Bergen County residents worked in finance and insurance."
What was the unemployment rate in Bergen County in 2000?,"In 2000, the unemployment rate in Bergen County was 3.2%."
How many Bergen County residents identified as Pakistani in 1980?,"In 1980, approximately 1,500 Bergen County residents identified as Pakistani."
What was the percentage of Bergen County's population living in single-family homes in 1990?,"In 1990, 65% of Bergen County's population lived in single-family homes."
How many Bergen County residents identified as Armenian in 2010?,"In 2010, approximately 3,800 Bergen County residents identified as Armenian."
What percentage of Bergen County's population aged 25+ had a graduate degree in 2020?,"In 2020, 20% of Bergen County's population aged 25+ had a graduate degree."
How many Bergen County households were classified as low-income in 1970?,"In 1970, approximately 30% of Bergen County households were classified as low-income."
What was the median home value in Bergen County in 1970?,"In 1970, the median home value in Bergen County was $35,000."
How many Bergen County residents identified as Tibetan in 2010?,"In 2010, around 800 Bergen County residents identified as Tibetan."
What was the percentage of Bergen County's population aged 18-24 in 1980?,"In 1980, 8% of Bergen County's population was aged 18-24."
How many Bergen County residents identified as Serbian in 1990?,"In 1990, approximately 1,200 Bergen County residents identified as Serbian."
What percentage of Bergen County's workforce was employed in public safety in 2020?,"In 2020, 3% of Bergen County's workforce was employed in public safety."
How many Bergen County households had more than one occupant per bedroom in 2010?,"In 2010, around 12% of Bergen County households had more than one occupant per bedroom."
What percentage of Bergen County's population was aged 55-64 in 2010?,"In 2010, 12% of Bergen County's population was aged 55-64."
How many Bergen County residents identified as Swiss in 2020?,"In 2020, approximately 1,500 Bergen County residents identified as Swiss."
What was the percentage of Bergen County's population living below the poverty line in 1980?,"In 1980, 8% of Bergen County's population was living below the poverty line."
How many Bergen County residents identified as Finnish in 2010?,"In 2010, approximately 800 Bergen County residents identified as Finnish."
What was the median rent in Bergen County in 1990?,"In 1990, the median rent in Bergen County was $850 per month."
How many Bergen County residents identified as Uzbek in 2020?,"In 2020, approximately 900 Bergen County residents identified as Uzbek."
What percentage of Bergen County's housing units were vacant in 2000?,"In 2000, 4% of Bergen County's housing units were vacant."
How many Bergen County residents identified as Chilean in 2010?,"In 2010, approximately 1,200 Bergen County residents identified as Chilean."
What was the percentage of Bergen County's population aged 40-49 in 1995?,"In 1995, 16% of Bergen County's population was aged 40-49."
How many Bergen County residents worked in the entertainment sector in 2020?,"In 2020, approximately 4,000 Bergen County residents worked in the entertainment sector."
What was the average family size in Bergen County in 1985?,"In 1985, the average family size in Bergen County was 3.2 persons."
"How many Bergen County households had incomes above $250,000 in 2015?","In 2015, approximately 10% of Bergen County households had incomes above $250,000."
What percentage of Bergen County's housing units were classified as condominiums in 2010?,"In 2010, 8% of Bergen County's housing units were classified as condominiums."
How many Bergen County residents identified as Sierra Leonean in 2010?,"In 2010, approximately 400 Bergen County residents identified as Sierra Leonean."
What was the percentage of Bergen County's workforce commuting over 30 minutes in 2000?,"In 2000, 50% of Bergen County's workforce commuted over 30 minutes."
How many Bergen County residents identified as Laotian in 2020?,"In 2020, approximately 1,300 Bergen County residents identified as Laotian."
What was the percentage of Bergen County's population aged 25-34 in 1980?,"In 1980, 14% of Bergen County's population was aged 25-34."
How many Bergen County residents identified as Syrian in 1990?,"In 1990, approximately 5,000 Bergen County residents identified as Syrian."
What percentage of Bergen County's households were owner-occupied in 1970?,"In 1970, 68% of Bergen County's households were owner-occupied."
How many Bergen County residents identified as German in 2010?,"In 2010, approximately 60,000 Bergen County residents identified as German."
What was the median household income in Bergen County in 1970?,"In 1970, the median household income in Bergen County was $10,000."
How many Bergen County residents identified as Afghan in 2010?,"In 2010, approximately 600 Bergen County residents identified as Afghan."
What percentage of Bergen County's workforce worked in education in 2020?,"In 2020, 10% of Bergen County's workforce worked in education."
How many Bergen County households had no internet access in 2005?,"In 2005, approximately 35% of Bergen County households had no internet access."
What was the percentage of Bergen County's housing units with central heating in 1990?,"In 1990, 88% of Bergen County's housing units had central heating."
How many Bergen County residents identified as Puerto Rican in 2010?,"In 2010, approximately 18,000 Bergen County residents identified as Puerto Rican."
What was the median home value in Bergen County in 1980?,"In 1980, the median home value in Bergen County was $90,000."
How many Bergen County residents identified as Costa Rican in 2020?,"In 2020, approximately 1,400 Bergen County residents identified as Costa Rican."
What percentage of Bergen County's population aged 65 and older lived alone in 2010?,"In 2010, 28% of Bergen County's population aged 65 and older lived alone."
How many Bergen County residents identified as Iranian in 1990?,"In 1990, approximately 1,200 Bergen County residents identified as Iranian."
What was the unemployment rate in Bergen County in 1985?,"In 1985, the unemployment rate in Bergen County was 5.2%."
How many Bergen County residents identified as Czech in 1980?,"In 1980, approximately 2,000 Bergen County residents identified as Czech."
What percentage of Bergen County's housing units had three bedrooms in 2015?,"In 2015, 35% of Bergen County's housing units had three bedrooms."
How many Bergen County residents identified as Salvadoran in 2020?,"In 2020, approximately 7,000 Bergen County residents identified as Salvadoran."
What was the percentage of Bergen County's population aged 5-14 in 1990?,"In 1990, 12% of Bergen County's population was aged 5-14."
How many Bergen County residents identified as Nigerian in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Nigerian."
What was the percentage of Bergen County's population aged 50-64 in 2000?,"In 2000, 18% of Bergen County's population was aged 50-64."
How many Bergen County residents identified as Hmong in 2020?,"In 2020, approximately 500 Bergen County residents identified as Hmong."
What percentage of Bergen County's workforce was employed in healthcare in 2015?,"In 2015, 14% of Bergen County's workforce was employed in healthcare."
How many Bergen County residents identified as Canadian in 1990?,"In 1990, approximately 800 Bergen County residents identified as Canadian."
What was the median household income in Bergen County in 2005?,"In 2005, the median household income in Bergen County was $72,000."
How many Bergen County residents worked in the utilities sector in 1980?,"In 1980, approximately 2,500 Bergen County residents worked in the utilities sector."
What percentage of Bergen County's housing units were single-family detached homes in 1995?,"In 1995, 68% of Bergen County's housing units were single-family detached homes."
How many Bergen County residents identified as Bhutanese in 2020?,"In 2020, approximately 1,000 Bergen County residents identified as Bhutanese."
What was the percentage of Bergen County households with broadband internet in 2020?,"In 2020, 85% of Bergen County households had broadband internet."
How many Bergen County residents identified as Guatemalan in 1990?,"In 1990, approximately 2,500 Bergen County residents identified as Guatemalan."
What was the average household size in Bergen County in 2010?,"In 2010, the average household size in Bergen County was 2.65 persons."
How many Bergen County residents identified as Haitian in 1980?,"In 1980, approximately 1,500 Bergen County residents identified as Haitian."
What was the unemployment rate in Bergen County in 1995?,"In 1995, the unemployment rate in Bergen County was 4.8%."
How many Bergen County residents identified as Croatian in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Croatian."
What percentage of Bergen County's housing units were classified as townhouses in 2000?,"In 2000, 6% of Bergen County's housing units were classified as townhouses."
How many Bergen County residents identified as Panamanian in 1990?,"In 1990, approximately 800 Bergen County residents identified as Panamanian."
What was the median monthly rent in Bergen County in 2000?,"In 2000, the median monthly rent in Bergen County was $900."
"How many Bergen County households had incomes exceeding $150,000 in 2010?","In 2010, approximately 20% of Bergen County households had incomes exceeding $150,000."
What percentage of Bergen County's population aged 25+ held an associate degree in 2015?,"In 2015, 9% of Bergen County's population aged 25+ held an associate degree."
How many Bergen County residents identified as Bangladeshi in 1990?,"In 1990, approximately 1,000 Bergen County residents identified as Bangladeshi."
What was the percentage of Bergen County's workforce employed in manufacturing in 1960?,"In 1960, 30% of Bergen County's workforce was employed in manufacturing."
How many Bergen County residents identified as Taiwanese in 2010?,"In 2010, approximately 3,500 Bergen County residents identified as Taiwanese."
What percentage of Bergen County's population identified as Hispanic in 1980?,"In 1980, 8% of Bergen County's population identified as Hispanic."
How many Bergen County residents worked in the wholesale trade sector in 1990?,"In 1990, approximately 15,000 Bergen County residents worked in the wholesale trade sector."
What was the percentage of Bergen County's housing units with three or more bathrooms in 2010?,"In 2010, 20% of Bergen County's housing units had three or more bathrooms."
How many Bergen County residents identified as Jamaican in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Jamaican."
What was the average travel time to work for Bergen County residents in 1980?,"In 1980, the average travel time to work for Bergen County residents was 25 minutes."
How many Bergen County residents identified as Norwegian in 1990?,"In 1990, approximately 1,500 Bergen County residents identified as Norwegian."
What percentage of Bergen County's population was aged 20-24 in 2000?,"In 2000, 6% of Bergen County's population was aged 20-24."
How many Bergen County households were classified as upper-income in 1995?,"In 1995, approximately 20% of Bergen County households were classified as upper-income."
What was the median household income in Bergen County in 1975?,"In 1975, the median household income in Bergen County was $15,000."
How many Bergen County residents identified as Turkish in 2010?,"In 2010, approximately 4,000 Bergen County residents identified as Turkish."
What was the percentage of Bergen County's population aged 10-14 in 1990?,"In 1990, 7% of Bergen County's population was aged 10-14."
"How many Bergen County households had incomes under $20,000 in 2010?","In 2010, approximately 10% of Bergen County households had incomes under $20,000."
What percentage of Bergen County's workforce was employed in technology in 2010?,"In 2010, 6% of Bergen County's workforce was employed in technology."
How many Bergen County residents identified as Indian in 1990?,"In 1990, approximately 10,000 Bergen County residents identified as Indian."
What percentage of Bergen County's housing units were renter-occupied in 1980?,"In 1980, 30% of Bergen County's housing units were renter-occupied."
How many Bergen County residents identified as Bolivian in 2020?,"In 2020, approximately 1,200 Bergen County residents identified as Bolivian."
What was the median rent for Bergen County housing in 1960?,"In 1960, the median rent for Bergen County housing was $80 per month."
How many Bergen County residents identified as Somali in 1990?,"In 1990, approximately 1,000 Bergen County residents identified as Somali."
What was the GDP of Bergen County in 2017?,The GDP of Bergen County in 2017 was 76.1 billion.
What was the GDP of Bergen County in 2018?,The GDP of Bergen County in 2018 was 78.1 billion
What was the GDP of Bergen County in 2020?,The GDP of Bergen County in 2020 was $76.7 billion.
How much did Bergen County's GDP increase between 2020 and 2022?,"Between 2020 and 2022, Bergen County's GDP increased by 6.3 percent."
Which industry in Bergen County had the highest GDP in 2022?,"The Professional & Business Services industry had the highest GDP in Bergen County in 2022, with $13.7 billion."
What was the GDP growth rate of Bergen County compared to the national rate from 2020 to 2022?,Bergen County's GDP growth rate of 6.3 percent from 2020 to 2022 was lower than the national rate of 7.8 percent.
What was the GDP of the Real Estate & Rental and Leasing industry in Bergen County in 2022?,The GDP of the Real Estate & Rental and Leasing industry in Bergen County in 2022 was $13.5 billion.
What was the unemployment rate in Bergen County in 2023?,The unemployment rate in Bergen County in 2023 was 3.9 percent.
How many people were employed in Bergen County in 2023?,"In 2023, 494,480 people were employed in Bergen County."
What is the size of the civilian labor force in Bergen County as of 2023?,"The civilian labor force in Bergen County was 514,345 individuals in 2023."
Was the unemployment rate in Bergen County higher or lower than the national average in 2023?,The unemployment rate in Bergen County was higher than the national average of 3.6 percent in 2023.
How many unemployed individuals were there in Bergen County in 2023?,"There were 19,865 unemployed individuals in Bergen County in 2023."
What was the median household income in Bergen County from 2018 to 2022?,"The median household income in Bergen County from 2018 to 2022 was $118,714."
How does the median household income in Bergen County compare to the national median?,The median household income in Bergen County surpasses the national median by 58.0 percent.
"What percentage of households in Bergen County had an income of $200,000 or more?","26.5 percent of households in Bergen County had an income of $200,000 or more."
What is the average household income in Bergen County as of 2018-2022?,"The average household income in Bergen County from 2018-2022 was $161,998."
"How many households in Bergen County had an income below $10,000?","About 11,000 households in Bergen County had an income below $10,000."
How many jobs were in Bergen County in 2022?,"There were 693,756 jobs in Bergen County in 2022."
Which sector had the most jobs in Bergen County in 2022?,"The Finance, Insurance, Real Estate & Leasing sector had the most jobs in Bergen County in 2022, with 120,058 jobs."
What was the job count in the manufacturing sector in Bergen County in 2022?,"The job count in the manufacturing sector in Bergen County in 2022 was 31,753."
What percentage of jobs in Bergen County were nonfarm jobs in 2022?,99.9 percent of jobs in Bergen County were nonfarm jobs in 2022.
How many jobs were in the Health Care & Social Assistance sector in Bergen County in 2022?,"The Health Care & Social Assistance sector had 91,635 jobs in Bergen County in 2022."
What percentage of housing units in Bergen County were owner-occupied?,62.2 percent of housing units in Bergen County were owner-occupied.
What percentage of renters in Bergen County were cost-burdened?,48.7 percent of renters in Bergen County were cost-burdened.
How many housing units were in Bergen County from 2018 to 2022?,"There were 367,059 housing units in Bergen County from 2018 to 2022."
What percentage of homeowners in Bergen County were cost-burdened?,30.8 percent of homeowners in Bergen County were cost-burdened.
How does the cost-burdened percentage of renters in Bergen County compare to the national average?,The cost-burdened percentage of renters in Bergen County was 1.2 percentage points below the national average.
What was the poverty rate in Bergen County in 2022?,The poverty rate in Bergen County in 2022 was 7.0 percent.
What was the child poverty rate in Bergen County in 2022?,The child poverty rate in Bergen County in 2022 was 8.1 percent.
What percentage of Bergen County residents had health insurance in 2021?,92.7 percent of Bergen County residents had health insurance in 2021.
What was the uninsured rate in Bergen County compared to the national average?,"The uninsured rate in Bergen County was 7.3 percent, which is 1.0 percentage points below the national average."
How many children lived in high-poverty areas in Bergen County in 2022?,"5,073 children lived in high-poverty areas in Bergen County in 2022."
What was the GDP of Bergen County in 2022?,The GDP of Bergen County in 2022 was $81.6 billion.
What was the GDP of Bergen County in 2017?,The GDP of Bergen County in 2017 was $76.1 billion.
Which industry experienced the highest GDP growth from 2020 to 2022 in Bergen County?,The Professional & Business Services industry experienced the highest GDP growth from 2020 to 2022 in Bergen County.
What was the GDP of the Wholesale Trade industry in Bergen County in 2021?,The GDP of the Wholesale Trade industry in Bergen County in 2021 was $14.3 billion.
What was the GDP for the Real Estate & Rental and Leasing industry in 2020 in Bergen County?,The GDP for the Real Estate & Rental and Leasing industry in Bergen County in 2020 was $13.5 billion.
How did the unemployment rate in Bergen County change from 2022 to 2023?,The unemployment rate in Bergen County increased from 3.5 percent in 2022 to 3.9 percent in 2023.
What is the number of individuals actively seeking employment in Bergen County as of 2023?,"There were 19,865 individuals actively seeking employment in Bergen County as of 2023."
How does Bergen County's unemployment rate compare to the national average as of 2023?,Bergen County's unemployment rate of 3.9 percent is slightly higher than the national average of 3.6 percent in 2023.
What is the labor force participation rate for Bergen County in 2023?,"The labor force participation rate in Bergen County in 2023 includes 514,345 civilians."
How did the number of employed individuals in Bergen County change from 2022 to 2023?,"The number of employed individuals in Bergen County increased to 494,480 in 2023."
"How many households in Bergen County earned between $50,000 and $99,999 annually?","About 75,000 households in Bergen County earned between $50,000 and $99,999 annually."
"What is the percentage of households earning less than $25,000 annually in Bergen County?","9.5 percent of households in Bergen County earned less than $25,000 annually."
"What percentage of households in Bergen County earned $100,000 to $199,999 annually?","30.7 percent of households in Bergen County earned $100,000 to $199,999 annually."
How does the average household income in Bergen County compare to the median household income?,"The average household income in Bergen County, at $161,998, is higher than the median household income of $118,714."
"What percentage of households in Bergen County earned more than $200,000 annually?","26.5 percent of households in Bergen County earned more than $200,000 annually."
What was the number of jobs in the Retail Trade sector in Bergen County in 2022?,"The number of jobs in the Retail Trade sector in Bergen County in 2022 was 61,615."
